N,BLOCKED,BLOCKED & PACKING,BLOCKED & PACKING & AVX (CCR),BLOCKED & PACKING & AVX (RRC to RRR packing),BLOCKED & PACKING & AVX (RRC with reduction),BLOCKED & PACKING & AVX (RRC with reduction) & OMP,GPU,GPU+Copies
3392,3.38e+01s,2.32e+01s,3.28e+00s,3.41e+00s,2.48e+00s,7.49e-01s,1.06e+00s,1.62e+00s
3484,3.66e+01s,2.50e+01s,3.27e+00s,3.62e+00s,2.76e+00s,8.38e-01s,9.69e-01s,1.59e+00s
3568,3.92e+01s,2.69e+01s,3.67e+00s,4.03e+00s,2.91e+00s,8.40e-01s,9.84e-01s,1.35e+00s
3636,4.16e+01s,2.85e+01s,3.70e+00s,4.14e+00s,3.16e+00s,8.93e-01s,1.35e+00s,1.68e+00s
3672,4.28e+01s,2.94e+01s,4.16e+00s,4.37e+00s,3.25e+00s,9.25e-01s,1.38e+00s,1.88e+00s
3744,4.59e+01s,3.11e+01s,4.15e+00s,4.70e+00s,3.39e+00s,1.00e+00s,1.20e+00s,1.94e+00s
3788,4.72e+01s,3.24e+01s,4.28e+00s,4.71e+00s,3.56e+00s,9.75e-01s,1.56e+00s,2.15e+00s
3876,5.07e+01s,3.46e+01s,4.43e+00s,4.97e+00s,3.82e+00s,1.05e+00s,1.66e+00s,2.07e+00s
3952,5.37e+01s,3.66e+01s,5.61e+00s,5.41e+00s,4.04e+00s,1.10e+00s,1.59e+00s,1.98e+00s
4004,5.56e+01s,3.82e+01s,5.02e+00s,5.59e+00s,4.30e+00s,1.13e+00s,1.80e+00s,2.40e+00s
4008,5.58e+01s,3.82e+01s,5.26e+00s,5.87e+00s,4.26e+00s,1.13e+00s,1.85e+00s,2.06e+00s
4016,5.61e+01s,3.84e+01s,5.24e+00s,5.83e+00s,4.25e+00s,1.15e+00s,1.76e+00s,2.32e+00s
4032,5.69e+01s,3.90e+01s,5.84e+00s,6.12e+00s,4.59e+00s,1.10e+00s,1.76e+00s,2.16e+00s
4064,5.82e+01s,3.98e+01s,5.59e+00s,5.81e+00s,4.35e+00s,1.15e+00s,1.34e+00s,1.74e+00s
